epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
77,0.4005541501023973,0.39328277356446373,0.25610453767166774,0.24826639363335978,0.57,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,118,130,140,147,154,160,165,176,182,191
78,0.4076617275027105,0.4019501625135428,0.26578547529064966,0.25977626035159085,0.58,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,118,130,140,147,154,160,165,176,182,191
79,0.4141669678352006,0.40411700975081255,0.27468968177308073,0.26334546942589854,0.59,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
80,0.41970846885917357,0.40736728060671723,0.2820800131080907,0.2676420202758667,0.6,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
81,0.4247681002288881,0.409534127843987,0.28900347291151085,0.27075344918317024,0.6,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
82,0.43043006866642575,0.41278439869989164,0.2967421224112683,0.2754818742297037,0.61,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
83,0.43476689555475245,0.4160346695557963,0.3026009612639351,0.2804300378517778,0.62,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
84,0.43777858089386823,0.4247020585048754,0.30672052426495455,0.29209612562541176,0.63,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
85,0.4404288639922901,0.4268689057421452,0.3102687446392772,0.2949141724176273,0.63,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
86,0.4433200819178412,0.4301191765980498,0.31422423331563065,0.2991779200438828,0.64,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
87,0.4451270931213107,0.4322860238353196,0.31667644560429453,0.30199277244755407,0.65,0.001,8,16,25,30,37,46,54,61,67,77,85,92,96,108,110,118,131,140,147,154,159,165,176,182,191
88,0.44645223467052164,0.4344528710725894,0.31850186274740666,0.30491974505385433,0.66,0.001,8,16,25,30,37,46,54,61,67,77,85,92,96,108,110,118,131,140,147,154,159,165,176,182,191
89,0.4475364413926033,0.4344528710725894,0.3200199612164525,0.30491974505385433,0.66,0.001,8,16,25,30,37,46,54,61,67,77,85,92,96,108,110,118,131,140,147,154,159,165,176,182,191
90,0.44874111552824963,0.4355362946912243,0.32165679041350614,0.3064284199883752,0.67,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
91,0.44922298518250814,0.437703141928494,0.32233807802258174,0.3092184099983992,0.68,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
92,0.45054812673171907,0.4398699891657638,0.3240899951741194,0.31196471517801005,0.68,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
93,0.45078906155884835,0.4398699891657638,0.3245025853431702,0.31196471517801005,0.69,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
94,0.45163233345380077,0.4409534127843987,0.3256149821027047,0.3135548515604957,0.7,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
95,0.4522346705216239,0.4409534127843987,0.32643789277251367,0.3135548515604957,0.71,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
96,0.4529574750030117,0.4409534127843987,0.32745194312076775,0.31372992600811245,0.71,0.001,8,16,25,30,37,46,54,61,67,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
97,0.4534393446572702,0.4398699891657638,0.3281436320096851,0.3124841516828031,0.72,0.001,8,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
98,0.4536802794843995,0.4398699891657638,0.32852646487090775,0.3124841516828031,0.73,0.001,8,16,25,30,37,46,54,61,66,77,84,92,96,108,110,118,131,140,147,154,159,165,176,182,191
99,0.45404168172509335,0.4409534127843987,0.32906241384804613,0.31387723584731697,0.74,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,159,165,176,182,191
100,0.4546440187929165,0.4409534127843987,0.329935081389383,0.31389799255220296,0.74,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,147,154,159,165,176,182,191
101,0.4552463558607397,0.4409534127843987,0.3307710393976092,0.3139187480012561,0.75,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
102,0.4554872906878689,0.4409534127843987,0.3311848836759109,0.3139187480012561,0.76,0.001,8,16,25,30,37,46,54,61,66,77,84,91,96,108,110,118,131,140,148,154,159,165,176,182,191
