epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
61,0.24877149244047936,0.2653907057224596,67.01982347247156,61.56090377054966,1.25,0.001,174,332,485,643,832,941,1146,1302,1440,1615,1770,1917,2085,2243,2400,2555,2722,2860,3005,3186,3323,3506,3653,3826,3986
62,0.25444936411057917,0.2714017667160028,66.76607294197967,61.30851995555451,1.27,0.001,174,332,485,643,832,941,1147,1302,1440,1615,1770,1917,2085,2243,2400,2555,2722,2860,3004,3185,3322,3505,3653,3826,3986
63,0.2604085355440222,0.27737640864273105,66.49870402285107,61.05663234666341,1.29,0.001,175,333,485,642,832,940,1148,1303,1440,1616,1771,1917,2085,2243,2400,2556,2722,2860,3004,3185,3322,3504,3652,3825,3986
64,0.26655753370510216,0.2832814375039385,66.2216957520815,60.80665439530447,1.3,0.001,175,333,485,642,832,940,1148,1303,1440,1616,1771,1917,2085,2243,2400,2556,2722,2860,3003,3184,3322,3504,3652,3825,3986
65,0.27261983158874004,0.28906555312800764,65.94745185562518,60.56079477088498,1.32,0.001,175,333,485,641,832,939,1149,1304,1440,1616,1772,1917,2086,2243,2399,2557,2721,2860,3003,3184,3321,3503,3651,3824,3986
66,0.27868603705396544,0.2950748588756733,65.67188057637378,60.30430036554711,1.34,0.001,175,333,485,641,832,939,1150,1304,1441,1616,1773,1917,2086,2243,2399,2558,2721,2860,3003,3184,3321,3502,3651,3824,3985
67,0.28496128470784476,0.3016300420086876,65.38559008393975,60.02325599103755,1.36,0.001,175,334,485,640,831,938,1151,1305,1441,1617,1773,1917,2086,2243,2399,2558,2721,2861,3002,3183,3321,3502,3650,3823,3985
68,0.2912369323547469,0.3086495543413479,65.09802554369449,59.72083902023857,1.38,0.001,176,334,485,639,831,938,1152,1305,1441,1617,1774,1918,2087,2243,2398,2559,2721,2861,3002,3183,3320,3501,3650,3823,3985
69,0.29723762803510656,0.3155748858788343,64.82186377633322,59.42097110146068,1.4,0.001,176,334,485,639,831,937,1153,1305,1441,1617,1775,1918,2087,2243,2398,2560,2721,2861,3001,3182,3320,3500,3649,3822,3985
70,0.30298459219869456,0.32230785004518436,64.55627541387824,59.127972969652866,1.41,0.001,176,335,485,638,831,937,1154,1306,1441,1617,1775,1918,2087,2243,2398,2560,2721,2861,3001,3182,3320,3500,3649,3822,3985
71,0.30883422620464596,0.3288940503855109,64.28481243167005,58.83995150047394,1.43,0.001,176,335,485,638,831,936,1154,1306,1441,1618,1776,1918,2087,2243,2397,2561,2721,2861,3000,3181,3320,3499,3649,3821,3984
72,0.31501333666153475,0.3355137826703918,63.99680892618299,58.54903710646102,1.45,0.001,176,335,486,637,831,936,1155,1307,1442,1618,1777,1918,2087,2243,2397,2562,2721,2861,3000,3181,3319,3498,3648,3821,3984
73,0.3213429474957582,0.34212772453045637,63.700440294789175,58.25692563777825,1.47,0.001,177,336,486,636,830,936,1156,1307,1442,1618,1777,1919,2088,2243,2397,2563,2721,2861,2999,3180,3319,3498,3648,3821,3984
74,0.32762823457725787,0.34869927861471484,63.40478104816407,57.96522900358024,1.49,0.001,177,336,486,636,830,935,1157,1308,1442,1618,1778,1919,2088,2242,2396,2564,2720,2861,2999,3180,3319,3497,3647,3820,3984
75,0.3338879494077944,0.3553966590324037,63.10894172294941,57.6664286408262,1.51,0.001,177,336,486,635,830,935,1158,1308,1442,1618,1779,1919,2088,2242,2396,2564,2720,2862,2998,3179,3319,3496,3647,3820,3983
76,0.34009087054442166,0.3621685962939385,62.8144161710212,57.362718252472135,1.52,0.001,177,337,486,634,830,934,1159,1309,1442,1618,1779,1919,2088,2242,2395,2565,2720,2862,2998,3179,3319,3495,3646,3819,3983
77,0.34609894259250973,0.36878864010098855,62.52781998026458,57.06425628800506,1.54,0.001,177,337,486,634,829,934,1160,1309,1442,1618,1780,1919,2088,2242,2395,2566,2720,2862,2997,3178,3319,3495,3646,3819,3983
78,0.35189112260743516,0.37507879262836397,62.25027061311661,56.7792183696806,1.56,0.001,177,337,486,633,829,933,1161,1310,1442,1619,1781,1920,2088,2242,2394,2567,2720,2862,2997,3177,3319,3494,3645,3819,3983
79,0.3576671878952439,0.38108054552346027,61.9722562674218,56.50590659806061,1.58,0.001,178,338,486,632,829,933,1162,1310,1442,1619,1781,1920,2088,2242,2394,2568,2720,2862,2997,3177,3319,3493,3644,3818,3983
80,0.36355154295474146,0.38689190027054543,61.687743398076044,56.23999694042821,1.6,0.001,178,338,485,631,828,932,1163,1311,1442,1619,1782,1920,2088,2242,2394,2569,2720,2862,2996,3177,3320,3492,3644,3818,3982
81,0.36956868004964716,0.39268789355732614,61.39544473953768,55.97353500623085,1.61,0.001,178,339,485,631,828,932,1164,1311,1443,1619,1783,1920,2088,2242,2393,2570,2719,2862,2996,3176,3320,3492,3644,3817,3982
82,0.37560368189238125,0.39851899028810367,61.10087474440321,55.70417250066978,1.63,0.001,178,339,485,630,827,932,1165,1312,1443,1619,1783,1920,2088,2242,2393,2571,2719,2862,2995,3176,3320,3491,3643,3817,3982
83,0.3814061281000505,0.4042286655501669,60.81631178636925,55.43915143397083,1.65,0.001,178,339,485,629,827,931,1165,1312,1443,1619,1784,1921,2088,2242,2392,2572,2719,2863,2995,3175,3320,3490,3643,3817,3982
84,0.3871565447910682,0.41004844487928904,60.53297824391366,55.16771083124054,1.67,0.001,179,340,485,628,827,931,1166,1313,1443,1619,1785,1921,2088,2242,2392,2573,2719,2863,2995,3175,3321,3489,3642,3816,3982
85,0.39290873759454004,0.41584757922575033,60.2482231163034,54.895893125362754,1.69,0.001,179,340,485,627,826,931,1167,1313,1443,1620,1785,1921,2088,2242,2391,2574,2719,2863,2994,3174,3321,3489,3642,3816,3981
86,0.3986473427217322,0.42144106340981125,59.96279771137267,54.632436564736885,1.71,0.001,179,340,485,627,826,930,1168,1314,1443,1620,1786,1921,2088,2242,2391,2575,2719,2863,2994,3174,3322,3488,3641,3816,3981
87,0.40440380958934685,0.42681374252510496,59.675109152340475,54.37817878639372,1.72,0.001,179,341,485,626,825,930,1169,1314,1443,1620,1787,1921,2088,2242,2390,2576,2719,2863,2994,3174,3322,3487,3641,3816,3981
88,0.4101465816280949,0.4320551423940828,59.386715538257164,54.12898278504548,1.74,0.001,179,341,485,625,825,930,1169,1314,1443,1620,1787,1922,2088,2242,2389,2578,2718,2863,2994,3173,3323,3486,3640,3815,3981
89,0.4158759458294582,0.437375131190345,59.09759621935777,53.87487084888812,1.76,0.001,180,342,484,624,824,930,1170,1315,1443,1620,1788,1922,2088,2241,2389,2579,2718,2863,2994,3173,3323,3485,3640,3815,3980
90,0.42164737821181886,0.44300861462640706,58.804915325219625,53.604470046670315,1.78,0.001,180,342,484,623,824,929,1171,1315,1443,1620,1788,1922,2088,2241,2388,2580,2718,2863,2994,3173,3324,3485,3639,3815,3980
91,0.42744408325897487,0.44885736796953035,58.50947898297655,53.322285334382,1.8,0.001,180,342,484,623,823,929,1172,1316,1443,1620,1789,1922,2088,2241,2388,2581,2718,2863,2993,3172,3325,3484,3639,3815,3980
92,0.43325245245829813,0.454711656939242,58.211943543346415,53.03833464020387,1.82,0.001,180,343,484,622,823,929,1172,1316,1443,1620,1790,1922,2088,2241,2387,2582,2718,2864,2993,3172,3326,3483,3639,3814,3980
93,0.43909159822509214,0.4604744128916616,57.91128806334953,52.757328337960544,1.83,0.001,180,343,484,621,822,929,1173,1317,1443,1620,1790,1923,2087,2241,2387,2583,2717,2864,2993,3172,3326,3482,3638,3814,3980
94,0.4449343101827984,0.466160523460188,57.6088855247717,52.47858566239186,1.85,0.001,181,343,483,620,822,929,1174,1317,1443,1620,1791,1923,2087,2241,2386,2584,2717,2864,2993,3171,3327,3481,3638,3814,3979
95,0.4507594561661965,0.47191835502212764,57.305796789706406,52.19481142646029,1.87,0.001,181,344,483,619,821,928,1175,1318,1443,1620,1791,1923,2087,2241,2386,2585,2717,2864,2993,3171,3328,3481,3637,3814,3979
96,0.4566038833933872,0.47790043847605135,57.000087804893994,51.89833577157725,1.89,0.001,181,344,483,618,820,928,1175,1318,1443,1620,1792,1923,2087,2241,2385,2586,2717,2864,2993,3171,3329,3480,3637,3814,3979
97,0.462438301883763,0.4839139921894339,56.69325787323613,51.59858585756009,1.91,0.001,181,345,483,618,820,928,1176,1319,1443,1620,1793,1924,2086,2241,2385,2587,2717,2864,2993,3171,3330,3479,3637,3814,3979
98,0.4682687583658386,0.4897100441841422,56.38497044938593,51.308020225429914,1.92,0.001,181,345,483,617,819,928,1177,1319,1443,1619,1793,1924,2086,2241,2384,2589,2717,2864,2993,3170,3331,3478,3636,3813,3978
99,0.47410129353074004,0.49527148490515205,56.0748771349802,51.027664161370595,1.94,0.001,182,345,482,616,819,928,1178,1320,1443,1619,1794,1924,2085,2241,2384,2590,2716,2864,2993,3170,3332,3478,3636,3813,3978
100,0.47989516299674917,0.500666975203158,55.7651280973939,50.75419231067888,1.96,0.001,182,346,482,615,818,928,1179,1320,1442,1619,1794,1924,2085,2241,2383,2591,2716,2864,2993,3170,3333,3477,3635,3813,3978
101,0.4856557194274216,0.5061060596676348,55.45544954975683,50.47701170768234,1.98,0.001,182,346,482,614,818,928,1179,1321,1442,1619,1795,1924,2084,2241,2383,2592,2716,2865,2993,3170,3334,3476,3635,3813,3978
102,0.49137189823749017,0.511527819896344,55.146435918663414,50.19918576982225,2.0,0.001,182,347,481,613,817,929,1180,1321,1442,1619,1796,1925,2084,2241,2382,2593,2716,2865,2993,3170,3335,3475,3635,3813,3978
103,0.4970689897017785,0.5168265228315236,54.83672052528989,49.92617596887428,2.02,0.001,182,347,481,612,816,929,1181,1322,1442,1619,1796,1925,2083,2241,2382,2594,2715,2865,2994,3170,3336,3475,3634,3813,3977
104,0.5027788529915154,0.521934423317447,54.52454516445437,49.66157686579107,2.03,0.001,183,347,481,612,816,929,1182,1322,1442,1619,1797,1925,2083,2241,2381,2595,2715,2865,2994,3169,3337,3474,3634,3813,3977
105,0.5085188660753484,0.527069602499858,54.208912562159696,49.394136916427136,2.05,0.001,183,348,480,611,815,929,1182,1322,1442,1618,1798,1925,2082,2240,2380,2596,2715,2865,2994,3169,3338,3473,3633,3813,3977
106,0.5143098625830378,0.5324761374628413,53.88860218369465,49.11098569582599,2.07,0.001,183,348,480,610,815,930,1183,1323,1442,1618,1799,1926,2081,2240,2380,2597,2715,2865,2994,3169,3339,3473,3633,3813,3977
107,0.5201430244576996,0.5380930752337989,53.56402008855268,48.81508325830885,2.09,0.001,183,349,480,609,814,930,1184,1323,1442,1618,1799,1926,2080,2240,2379,2598,2714,2865,2994,3169,3340,3472,3633,3813,3976
108,0.5260074783246949,0.543674670305018,53.23570496577579,48.51924553720925,2.11,0.001,183,349,479,608,813,931,1185,1324,1442,1617,1800,1926,2079,2240,2379,2599,2714,2865,2995,3169,3341,3471,3632,3813,3976
109,0.5318688313565713,0.5491551596345999,52.90552550449008,48.22700988473031,2.13,0.001,183,349,479,607,813,931,1185,1324,1441,1617,1801,1926,2078,2240,2378,2600,2714,2865,2995,3168,3342,3471,3632,3813,3976
110,0.537685723652238,0.5546523774137515,52.575803254830305,47.93208594752841,2.14,0.001,184,350,479,607,812,932,1186,1324,1441,1617,1802,1927,2077,2240,2378,2601,2714,2865,2996,3168,3344,3470,3632,3813,3976
111,0.5434682137668078,0.5602610776795142,52.24596509914067,47.62930334478319,2.16,0.001,184,350,478,606,812,932,1187,1325,1441,1616,1803,1927,2076,2240,2377,2602,2714,2866,2996,3168,3345,3470,3632,3813,3975
112,0.5492274119729109,0.5657846124351584,51.915378675001016,47.329223740960245,2.18,0.001,184,351,478,605,811,933,1187,1325,1441,1616,1804,1927,2075,2239,2377,2603,2713,2866,2996,3168,3346,3469,3631,3813,3975
113,0.5549663828138998,0.5710506796938455,51.58384028089611,47.041350659552705,2.2,0.001,184,351,477,604,811,933,1188,1325,1441,1615,1805,1928,2074,2239,2376,2604,2713,2866,2997,3168,3347,3468,3631,3813,3975
114,0.5606981126514767,0.5762844968556821,51.250581170485276,46.753477895366245,2.22,0.001,184,352,477,603,810,934,1189,1325,1440,1615,1805,1928,2072,2239,2376,2605,2713,2866,2997,3167,3348,3468,3631,3813,3975
115,0.5664085608621414,0.5816087084909136,50.91639229075691,46.45881124800897,2.24,0.001,185,352,477,602,809,935,1189,1326,1440,1614,1806,1929,2071,2239,2375,2606,2712,2866,2998,3167,3349,3467,3631,3813,3975
116,0.5720820603931857,0.5868803175120852,50.582179517747406,46.1651988616696,2.25,0.001,185,352,476,602,809,936,1190,1326,1440,1614,1807,1929,2069,2239,2375,2607,2712,2866,2998,3167,3350,3467,3630,3813,3974
117,0.577723575344183,0.5919585134966053,50.247641133222615,45.88058495891127,2.27,0.001,185,353,476,601,808,936,1190,1326,1440,1613,1808,1929,2068,2239,2374,2608,2712,2866,2998,3167,3352,3466,3630,3813,3974
118,0.583313289251993,0.5970151137420939,49.913968955343556,45.595412602482554,2.29,0.001,185,353,475,600,808,937,1191,1326,1439,1612,1808,1930,2066,2239,2374,2610,2712,2866,2999,3167,3353,3466,3630,3813,3974
119,0.5888754107609521,0.6022722300275378,49.57971061914465,45.29703130362822,2.31,0.001,185,354,475,599,807,938,1191,1326,1439,1612,1809,1931,2065,2238,2373,2611,2711,2866,2999,3167,3354,3465,3630,3813,3974
120,0.5944022304794909,0.6074737307441371,49.2453276455937,44.99985894075114,2.33,0.001,186,354,475,598,807,939,1192,1327,1439,1611,1810,1931,2063,2238,2373,2612,2711,2866,3000,3167,3355,3465,3630,3813,3973
121,0.5998818424045917,0.6125164737688262,48.91154374304828,44.70986792688011,2.35,0.001,186,355,474,598,806,940,1192,1327,1438,1610,1810,1932,2061,2238,2372,2613,2711,2866,3000,3167,3356,3464,3630,3813,3973
122,0.6053005660940978,0.617611062322811,48.57921808435681,44.41497704093604,2.36,0.001,186,355,474,597,806,941,1193,1327,1438,1609,1811,1933,2059,2238,2372,2614,2710,2866,3001,3166,3357,3464,3630,3813,3973
