epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
91,0.4188651969642212,0.4171180931744312,0.2803561296920257,0.27542140405761917,0.62,0.001,20,37,56,74,92,108,121,147,160,181
92,0.4218768823033369,0.4247020585048754,0.2844950698293782,0.28564640653672313,0.63,0.001,20,37,56,74,92,108,121,147,160,181
93,0.42428623057462955,0.4247020585048754,0.28769890615251026,0.28571407751567424,0.64,0.001,20,37,56,74,92,108,121,147,160,181
94,0.4262137091916637,0.4257854821235103,0.29045006161012643,0.2873116443594925,0.64,0.001,20,37,56,74,92,108,121,147,160,181
95,0.42777978556800383,0.4268689057421452,0.2926495851550981,0.2888780466491411,0.65,0.001,20,37,56,74,92,108,121,147,160,181
96,0.4298277315986026,0.4279523293607801,0.29557390222964264,0.29044863824446665,0.66,0.001,20,37,56,74,92,108,121,147,160,181
97,0.4307914709071196,0.4312026002166847,0.297022091395852,0.29475228460527514,0.66,0.001,20,37,56,74,92,108,121,147,160,181
98,0.43199614504276596,0.4322860238353196,0.29874975718230634,0.2962707523971657,0.67,0.001,20,37,56,74,92,108,121,147,160,181
99,0.4333212865919769,0.4333694474539545,0.30066593966645694,0.29762601086599083,0.68,0.001,20,37,56,74,92,108,121,147,160,181
100,0.4341645584869293,0.4355362946912243,0.30195125066405826,0.300522626543843,0.68,0.001,20,37,56,74,92,108,121,147,160,181
101,0.4342850259004939,0.4355362946912243,0.3021928401825693,0.30058875375606864,0.69,0.001,20,37,56,74,92,108,121,147,160,181
102,0.43440549331405853,0.437703141928494,0.3025405254354536,0.30340534315179646,0.7,0.001,20,37,56,74,92,108,121,147,160,181
103,0.4356101674497049,0.437703141928494,0.30421229020754037,0.30340534315179646,0.7,0.001,20,37,56,74,92,108,121,147,160,181
104,0.4366943741717865,0.43661971830985913,0.3056958908737255,0.3021585453445733,0.71,0.001,20,37,56,74,92,108,121,147,160,181
105,0.4376581134803036,0.4355362946912243,0.307021514521861,0.30114880723145454,0.72,0.001,20,37,56,74,92,108,121,147,160,181
106,0.438501385375256,0.4355362946912243,0.30822008124823963,0.3013224346047225,0.72,0.001,20,37,56,74,92,108,121,147,160,181
107,0.4393446572702084,0.43661971830985913,0.3094043191557645,0.30317575081811077,0.73,0.001,20,37,56,74,92,108,121,147,160,181
108,0.4399469943380316,0.437703141928494,0.31037672164803876,0.30474190355381514,0.74,0.001,20,37,56,74,92,108,121,147,160,181
109,0.44066979881941937,0.4387865655471289,0.3115215946164931,0.30624161122517835,0.74,0.001,20,37,56,74,92,108,121,147,160,181
110,0.4409107336465486,0.4398699891657638,0.3120006170484383,0.3076582680683999,0.75,0.001,20,37,56,74,91,108,121,147,160,181
111,0.4412721358872425,0.4387865655471289,0.31270127679447035,0.3067626721261797,0.76,0.001,20,37,56,74,91,108,121,147,160,181
112,0.441754005541501,0.4431202600216685,0.313471471196098,0.31249764515278255,0.76,0.001,20,37,56,74,91,108,121,147,160,181
113,0.44259727743645344,0.4431202600216685,0.31465389552680945,0.3126848957050592,0.77,0.001,20,37,56,74,91,108,121,147,160,181
114,0.44416335381279365,0.4463705308775731,0.3167950104477304,0.3170111154231565,0.78,0.001,20,37,56,74,91,108,121,147,160,181
115,0.4452475605348753,0.4463705308775731,0.3182946313023066,0.3171989773612329,0.78,0.001,20,37,56,74,91,108,121,147,160,181
116,0.4456089627755692,0.4463705308775731,0.3188384942710415,0.3172108388561238,0.79,0.001,20,37,56,74,91,108,121,147,160,181
117,0.44645223467052164,0.447453954496208,0.3200446602068783,0.318758068157479,0.8,0.001,20,37,56,74,91,108,121,147,160,181
118,0.4475364413926033,0.4485373781148429,0.3215558127942889,0.3203328554419579,0.8,0.001,20,37,56,74,91,108,122,147,160,181
119,0.4491025177689435,0.447453954496208,0.3236843450394761,0.3190901529671283,0.81,0.001,20,37,56,74,91,108,122,147,160,181
120,0.4501867244910252,0.4496208017334778,0.3252435913236821,0.3219163422436383,0.82,0.001,20,37,56,74,91,108,122,147,160,181
121,0.4504276593181544,0.4507042253521127,0.3258415168762675,0.3234703082803727,0.82,0.001,20,37,56,74,91,108,122,147,160,181
122,0.45199373569449464,0.4528710725893825,0.32804611259150995,0.3263572142927339,0.83,0.001,20,37,56,74,91,108,122,147,160,181
