epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
119,0.5546778190830235,0.5571030640668524,0.468300820219247,0.4762862667471002,1.02,0.009000000000000001,11,30,38,52,62,78,85,102,108,129,140,149,153,172,183
120,0.5560718711276332,0.5766016713091922,0.47738292187493103,0.505666428112006,1.03,0.009000000000000001,11,30,38,52,62,78,85,102,108,129,140,149,153,172,183
121,0.5365551425030979,0.541782729805014,0.44258706684161353,0.45400122965407885,1.03,0.009000000000000001,11,30,38,53,62,78,85,102,108,129,140,149,153,172,183
122,0.572180916976456,0.5821727019498607,0.493051137848458,0.5075220631944761,1.04,0.009000000000000001,11,30,38,52,62,78,85,102,108,129,140,149,153,172,183
123,0.5548327137546468,0.5696378830083565,0.4797427221774683,0.49960642796729626,1.05,0.009000000000000001,11,30,38,52,62,78,85,102,107,129,140,149,153,172,183
124,0.5478624535315985,0.552924791086351,0.4528818483420344,0.4653847045997541,1.06,0.009000000000000001,11,30,38,52,62,78,85,102,107,129,139,149,153,172,183
125,0.5649008674101611,0.5835654596100278,0.4835062317360741,0.5087525800088785,1.07,0.009000000000000001,11,30,38,52,62,78,85,102,107,129,139,149,153,172,183
126,0.5797707558859975,0.6072423398328691,0.512561516569086,0.5465679523268859,1.08,0.009000000000000001,11,30,38,52,62,78,85,102,107,129,139,149,153,172,183
127,0.5607187112763321,0.5738161559888579,0.47081288124925647,0.4918589375913557,1.08,0.009000000000000001,11,30,38,52,62,78,85,101,107,129,139,149,153,172,183
128,0.5573110285006195,0.575208913649025,0.4745439756013523,0.4992591440827562,1.09,0.009000000000000001,11,30,38,52,62,78,85,101,107,129,139,149,153,172,183
129,0.5628872366790583,0.5724233983286908,0.48423803131170273,0.4985497421384648,1.1,0.009000000000000001,11,30,38,52,62,78,85,101,108,129,140,149,153,172,183
130,0.5693928128872366,0.5766016713091922,0.48544552946170727,0.4983394583761397,1.11,0.009000000000000001,11,30,38,52,62,78,85,101,108,129,140,149,153,172,183
131,0.5534386617100372,0.5863509749303621,0.47194650333627863,0.512980205956712,1.12,0.009000000000000001,11,30,38,52,62,78,85,101,108,129,140,149,153,172,183
132,0.5686183395291202,0.5835654596100278,0.4830552583244462,0.5057817107786374,1.13,0.009000000000000001,11,30,38,52,62,78,85,101,108,129,140,149,153,172,183
133,0.5700123915737298,0.5835654596100278,0.49335964198031645,0.5117201537516775,1.13,0.009000000000000001,11,30,38,52,62,78,85,101,108,129,140,149,153,172,183
134,0.5662949194547707,0.584958217270195,0.48496953118175457,0.5100760425801814,1.14,0.009000000000000001,11,30,38,53,62,78,85,101,108,129,140,149,153,172,183
135,0.5661400247831475,0.5835654596100278,0.4788526181888785,0.5049611798914835,1.15,0.009000000000000001,11,30,38,53,62,78,85,101,108,129,139,149,153,172,183
136,0.5703221809169765,0.5891364902506964,0.4931631000527299,0.5174291442631914,1.16,0.009000000000000001,11,30,38,53,62,78,85,101,108,129,139,149,153,172,183
