epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
147,0.594017094017094,0.5769230769230769,0.4287418792616895,0.40679711637487126,0.81,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
148,0.594017094017094,0.5753205128205128,0.42888018414310747,0.4046530383000785,0.82,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
149,0.5950854700854701,0.5801282051282052,0.4305045491286541,0.4118248080645277,0.82,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
150,0.5956196581196581,0.5849358974358975,0.4314002896957393,0.41835456704815377,0.83,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
151,0.5954415954415955,0.5849358974358975,0.43108899275495827,0.41835456704815377,0.83,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
152,0.5952635327635327,0.5865384615384616,0.4308019954530752,0.42070037566388874,0.84,0.001,9,18,23,34,39,48,62,72,84,91,92,107,111,120
153,0.5961538461538461,0.5881410256410257,0.4320248546382518,0.42304537408798526,0.84,0.001,9,18,23,34,39,48,62,72,84,90,92,107,111,120
154,0.5966880341880342,0.5881410256410257,0.43277305865559945,0.42304537408798526,0.85,0.001,9,18,23,34,39,48,62,72,85,90,92,107,111,120
155,0.5974002849002849,0.5897435897435898,0.43381411974244466,0.4253895627401044,0.85,0.001,10,18,23,34,39,48,62,72,85,90,92,107,111,120
156,0.5975783475783476,0.5897435897435898,0.4341177234306194,0.4253895627401044,0.86,0.001,10,18,23,34,39,48,62,72,85,90,92,107,111,120
157,0.5977564102564102,0.5897435897435898,0.4343326539611736,0.4253895627401044,0.87,0.001,10,18,23,34,39,48,62,72,85,90,92,107,111,120
158,0.5977564102564102,0.5881410256410257,0.4343079858054224,0.4233482679017051,0.87,0.001,10,18,23,34,39,48,62,72,85,90,92,107,111,120
159,0.5986467236467237,0.5865384615384616,0.4356543356591417,0.4213084112149533,0.88,0.001,10,18,23,34,39,48,62,72,85,90,91,107,111,120
160,0.5990028490028491,0.5897435897435898,0.4360505947913915,0.42576962342013314,0.88,0.001,10,18,23,34,39,48,62,72,85,90,91,107,111,120
161,0.5988247863247863,0.5897435897435898,0.43569453978738004,0.42556726239706577,0.89,0.001,10,18,23,34,39,48,62,72,85,90,91,107,111,120
162,0.5986467236467237,0.5881410256410257,0.4356003876192618,0.42344363432417276,0.89,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
163,0.5984686609686609,0.5897435897435898,0.4356337293171363,0.4260914551777657,0.9,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
164,0.5991809116809117,0.5897435897435898,0.43681748465301073,0.4260914551777657,0.9,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
165,0.6006054131054132,0.592948717948718,0.43884052144887775,0.43077144088493036,0.91,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
166,0.6022079772079773,0.5913461538461539,0.4411251279125439,0.42862888167533253,0.91,0.001,10,18,23,33,39,48,62,72,85,90,91,107,111,120
