epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
108,0.5776353276353277,0.5881410256410257,0.3975965366424311,0.40862459344047086,0.62,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
109,0.5767450142450142,0.5897435897435898,0.39635878952619075,0.41070400920774985,0.62,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
110,0.5774572649572649,0.5897435897435898,0.39747224196221576,0.4109560754004543,0.63,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
111,0.5776353276353277,0.5913461538461539,0.39771147439914145,0.4135230267401361,0.63,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,106,111,117,123
112,0.5799501424501424,0.5897435897435898,0.4010254614762011,0.4113489551281815,0.64,0.001,7,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,107,111,117,123
113,0.5819088319088319,0.592948717948718,0.40387758086656855,0.4159477914162425,0.64,0.001,6,14,18,24,33,38,43,48,60,62,66,74,82,89,90,96,107,111,117,123
114,0.5831552706552706,0.592948717948718,0.40563172281027626,0.4158380079757631,0.65,0.001,6,14,18,24,33,38,44,48,60,62,66,74,82,89,90,96,107,111,117,123
115,0.584045584045584,0.5961538461538461,0.4068591781916926,0.4206853867181456,0.66,0.001,6,14,18,24,33,38,44,48,60,62,66,74,82,89,90,96,107,111,117,123
116,0.5845797720797721,0.5977564102564102,0.4076984703833594,0.4233687628626863,0.66,0.001,6,14,18,24,33,38,44,48,60,62,66,74,82,89,90,96,107,111,117,123
117,0.5851139601139601,0.6009615384615384,0.4084985614414227,0.42799291691362973,0.67,0.001,6,14,18,24,33,38,44,48,60,62,66,74,82,89,90,95,107,111,117,123
118,0.5852920227920227,0.6089743589743589,0.40875491027421873,0.44022500413610544,0.67,0.001,6,14,18,24,33,38,44,48,60,62,66,74,82,89,90,95,107,111,117,123
119,0.5858262108262108,0.6073717948717948,0.4094911385580775,0.4380506739495612,0.68,0.001,6,14,18,24,33,38,44,48,60,62,66,74,82,89,90,95,107,111,117,123
120,0.5856481481481481,0.6073717948717948,0.4091946134868979,0.4380506739495612,0.68,0.001,6,14,18,24,33,38,44,48,60,62,66,73,82,90,95,107,111,117,123
121,0.5861823361823362,0.6073717948717948,0.4099625830574659,0.4380506739495612,0.69,0.001,6,14,18,24,33,38,44,48,60,62,66,73,82,90,95,107,111,117,123
122,0.5863603988603988,0.6073717948717948,0.4104277802989842,0.4380651326913181,0.69,0.001,6,14,18,24,33,38,44,48,60,62,66,73,82,90,95,107,111,117,123
123,0.5868945868945868,0.6089743589743589,0.4112076134054351,0.44049242076251727,0.7,0.001,6,14,18,24,33,38,44,48,60,62,66,73,82,90,95,107,111,117,123
124,0.5900997150997151,0.6089743589743589,0.41593047493571766,0.44050681287022475,0.7,0.001,6,14,18,24,33,38,44,48,59,62,66,73,82,90,95,107,111,117,123
125,0.5908119658119658,0.6105769230769231,0.41716860369227426,0.4429042225267559,0.71,0.001,6,14,18,24,33,38,44,48,59,62,66,73,82,90,95,107,111,117,123
126,0.5911680911680912,0.6089743589743589,0.4178015605708322,0.44075958200951315,0.72,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
127,0.5927706552706553,0.6089743589743589,0.42003485988313816,0.44078833800395933,0.72,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
128,0.5927706552706553,0.6105769230769231,0.4199415090689125,0.4428714722945838,0.73,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
129,0.592948717948718,0.6153846153846154,0.4202300974851798,0.4501011599428658,0.73,0.001,6,14,18,24,33,38,44,48,59,62,66,73,83,90,95,107,111,117,123
