epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
66,0.36826888326707624,0.3564463705308776,0.20724679401252888,0.2030670164906645,0.48,0.001,8,16,24,30,37,46,53,61,68,76,84,92,96,108,111,119,130,140,147,154,160,166,176,182,191
67,0.371280568606192,0.35752979414951247,0.2118252629550904,0.20492293836521835,0.49,0.001,8,16,24,30,37,46,53,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
68,0.3747741235995663,0.3607800650054171,0.21698833033866582,0.20941380742082816,0.5,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
69,0.3789904830743284,0.36511375947995667,0.22313654612677558,0.2155822533675209,0.5,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
70,0.38127936393205636,0.36619718309859156,0.22671044862596523,0.21736578153988861,0.51,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
71,0.3841705818576075,0.36836403033586135,0.2310537451144129,0.2204425772337112,0.52,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
72,0.3871822671967233,0.37161430119176597,0.2355156732352066,0.22481114057049523,0.52,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
73,0.3900734851222744,0.37269772481040087,0.23970319092119285,0.22674670972670763,0.53,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,182,191
74,0.39296470304782555,0.37486457204767065,0.24380755441129576,0.23010836316115124,0.54,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,110,119,130,140,147,154,160,165,176,182,191
75,0.39730152993615225,0.37594799566630555,0.25008381727838735,0.2316192783134149,0.55,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,110,119,130,140,147,154,160,165,176,182,191
76,0.40416817250933623,0.38028169014084506,0.2598325322209293,0.23819390735204138,0.55,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,119,130,140,147,154,160,165,176,182,191
77,0.4132032285266835,0.3856988082340195,0.2723222493451035,0.24569113378168406,0.56,0.001,8,16,24,30,37,46,54,61,68,77,84,92,96,108,110,118,130,140,147,154,160,165,176,182,191
78,0.42043127334056135,0.39003250270855905,0.28215580652031724,0.2518342442165157,0.57,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,160,165,176,182,191
79,0.42657511143235755,0.39544962080173346,0.2903623098399021,0.2591027247395882,0.58,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,160,165,176,182,191
80,0.43163474280207204,0.4008667388949079,0.2972658945562531,0.2667468273327759,0.58,0.001,8,16,24,30,37,46,54,61,67,77,84,92,96,108,110,118,130,140,147,154,159,165,176,182,191
