epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
97,0.45526153953217907,0.45839308809225254,56.60009109975001,56.402421528662,1.72,0.001,291,508,715,983,1352,1571,1845,2135,2319,2655,2819,3065,3402,3615,3873
98,0.4616580659845372,0.46481219409807406,56.266796537372954,56.06718556227876,1.74,0.001,292,507,714,983,1352,1570,1845,2135,2319,2655,2819,3066,3404,3615,3873
99,0.468081092632193,0.4713268949610563,55.9301300137893,55.72489713006431,1.76,0.001,292,507,713,982,1352,1570,1845,2135,2319,2655,2819,3066,3405,3615,3872
100,0.4744644437877451,0.47771134036423146,55.59351724937225,55.387398530853794,1.77,0.001,292,506,712,981,1352,1570,1845,2136,2319,2655,2818,3066,3406,3615,3872
101,0.4808416982424668,0.48423508194281173,55.25518084094581,55.040394878301655,1.79,0.001,293,505,712,981,1351,1570,1845,2136,2319,2655,2818,3066,3407,3615,3871
102,0.4871669404454346,0.4905701318063569,54.91754294792785,54.701328608750444,1.81,0.001,293,504,711,980,1351,1569,1845,2136,2320,2655,2818,3067,3408,3615,3871
103,0.4933287847818575,0.49710439404632967,54.58662124321307,54.34938108763866,1.82,0.001,293,503,710,980,1350,1569,1845,2136,2320,2655,2818,3067,3409,3615,3871
104,0.4989935185847819,0.5024875445625425,54.280615820993134,54.057708422053466,1.84,0.001,294,503,709,979,1349,1569,1845,2136,2320,2656,2817,3067,3410,3616,3870
105,0.5042057652822125,0.5086600748936912,53.997522367929065,53.72132229152592,1.86,0.001,294,502,708,979,1349,1568,1844,2136,2320,2656,2817,3067,3412,3616,3870
106,0.5107156061015588,0.5144498598098068,53.641853867368575,53.403865968585315,1.87,0.001,295,501,707,978,1348,1568,1844,2136,2320,2656,2817,3068,3413,3616,3869
107,0.5170918466343835,0.5213432562408201,53.29118309169444,53.02342080908092,1.89,0.001,295,500,706,978,1347,1567,1844,2136,2320,2656,2816,3068,3414,3616,3869
108,0.5219742100185136,0.526905858430088,53.02110474922345,52.71442215119478,1.91,0.001,295,500,705,977,1346,1566,1843,2136,2320,2656,2816,3068,3415,3616,3868
109,0.5274829414778965,0.5316554025482068,52.714713927452216,52.44914529138559,1.92,0.001,296,499,704,977,1345,1566,1844,2136,2320,2656,2815,3068,3416,3616,3868
110,0.5337323456876075,0.5386571360090701,52.36495605886512,52.05561319621905,1.94,0.001,296,498,704,976,1344,1565,1843,2136,2320,2656,2815,3069,3417,3616,3867
111,0.5387795772361093,0.5439718484767906,52.08076425955532,51.75490145115484,1.96,0.001,296,497,703,976,1342,1564,1843,2136,2321,2656,2815,3069,3418,3616,3867
112,0.5436121828856615,0.5479126797243723,51.80720108232421,51.53079517688913,1.97,0.001,297,496,702,975,1341,1564,1844,2135,2321,2656,2814,3069,3420,3616,3866
113,0.5494162839145742,0.5545207091685177,51.47671841777115,51.152799402562025,1.99,0.001,297,496,701,975,1339,1563,1844,2135,2321,2656,2814,3069,3421,3616,3865
114,0.554896504689186,0.5598202778860464,51.16271864646048,50.84762489075817,2.01,0.001,298,495,700,974,1338,1562,1844,2135,2321,2656,2813,3069,3422,3616,3865
115,0.5596475134361619,0.5639967662796668,50.88892910514771,50.605824396907366,2.02,0.001,298,494,699,974,1337,1561,1844,2135,2321,2656,2813,3069,3423,3616,3864
116,0.5648761416921104,0.5702687463017277,50.58590793918055,50.24052256318474,2.04,0.001,298,494,699,974,1335,1560,1844,2134,2322,2656,2813,3070,3424,3616,3864
117,0.5704622870001839,0.5751669483473246,50.26014842329109,49.953371812809095,2.06,0.001,299,493,698,973,1334,1559,1844,2134,2322,2656,2812,3070,3425,3616,3863
118,0.5754286412066119,0.5800069310453021,49.9687451141336,49.668004233422245,2.07,0.001,299,492,697,973,1332,1559,1844,2134,2322,2656,2812,3070,3426,3616,3863
119,0.5800178531566249,0.5853911304177201,49.69795487492418,49.34861587392168,2.09,0.001,300,491,696,972,1331,1558,1844,2133,2323,2656,2812,3070,3427,3616,3862
120,0.5850611528593564,0.5893226054994423,49.398654341806214,49.11408514240085,2.11,0.001,300,491,695,972,1329,1557,1845,2133,2323,2656,2811,3070,3428,3616,3861
121,0.5903978769056524,0.5953733419884522,49.079963054565354,48.75093148148556,2.12,0.001,300,490,694,972,1328,1556,1845,2132,2324,2656,2811,3070,3429,3616,3861
122,0.5953157960891357,0.6002272369827593,48.784427947412176,48.45763946237605,2.14,0.001,301,489,694,971,1326,1555,1845,2132,2324,2656,2811,3070,3431,3616,3860
123,0.5997980755339976,0.6041336110222213,48.51350891117854,48.22030690535757,2.16,0.001,301,489,693,971,1325,1554,1845,2131,2324,2656,2810,3070,3432,3616,3860
124,0.6043463959946918,0.6098443475059485,48.23704236226943,47.87123383929931,2.17,0.001,302,488,692,971,1323,1553,1845,2131,2325,2656,2810,3070,3433,3616,3859
125,0.6092075338794618,0.6137125217175831,47.93979684034706,47.63333465455153,2.19,0.001,302,487,691,971,1322,1552,1845,2130,2325,2656,2809,3069,3434,3616,3858
126,0.61409136439119,0.619276003649286,47.63929770207444,47.28907218011631,2.21,0.001,302,487,690,970,1320,1551,1845,2130,2325,2655,2809,3069,3435,3616,3858
127,0.6186718895609883,0.6238161040819787,47.355727651533876,47.006264127108636,2.22,0.001,303,486,690,970,1319,1550,1846,2129,2326,2655,2809,3069,3436,3616,3857
128,0.6229562313922412,0.6275224087048723,47.08894664870276,46.77413366464552,2.24,0.001,303,485,689,970,1318,1549,1846,2128,2326,2655,2808,3069,3437,3616,3857
129,0.627160432035219,0.6326895095612524,46.82567717576276,46.44856814178318,2.26,0.001,304,485,688,970,1316,1548,1846,2128,2327,2655,2808,3069,3438,3616,3856
130,0.6314848962356959,0.6357579821244468,46.55332858500829,46.254148884856804,2.27,0.001,304,484,687,970,1314,1547,1846,2127,2327,2655,2808,3069,3439,3616,3855
131,0.6358725491032631,0.6412363343665701,46.27535991806952,45.90498955893847,2.29,0.001,304,483,687,969,1313,1546,1846,2127,2328,2655,2807,3068,3440,3616,3855
132,0.6402470400066138,0.6446465913567273,45.99655271135137,45.68629230619946,2.31,0.001,305,483,686,969,1311,1545,1847,2126,2328,2655,2807,3068,3441,3616,3854
133,0.6445160358480322,0.6493855894903627,45.72282961975888,45.38063304394012,2.32,0.001,305,482,685,969,1310,1544,1847,2125,2328,2655,2806,3068,3442,3616,3853
134,0.6486574314198141,0.6532342802764444,45.45571387436485,45.13087387107841,2.34,0.001,306,482,684,969,1308,1543,1847,2125,2329,2655,2806,3067,3443,3616,3853
135,0.6527110308953527,0.6570611761779803,45.19273234316138,44.88115137809454,2.36,0.001,306,481,684,969,1307,1542,1848,2124,2329,2655,2806,3067,3444,3616,3852
136,0.656693988813239,0.661442144328853,44.93283426100075,44.59355564516161,2.37,0.001,306,480,683,968,1305,1541,1848,2123,2330,2655,2805,3067,3445,3616,3851
137,0.6605369125748971,0.6644701600441192,44.680640317039156,44.39368829627558,2.39,0.001,307,480,682,968,1303,1540,1848,2122,2330,2655,2805,3066,3446,3616,3851
138,0.6641220260212235,0.6693934884875317,44.444075858389155,44.06678558502849,2.41,0.001,307,479,682,968,1302,1539,1849,2122,2331,2655,2805,3066,3447,3616,3850
139,0.6672147671393509,0.6705915304988084,44.23898057532237,43.98686993368021,2.42,0.001,308,479,681,968,1300,1538,1849,2121,2332,2654,2804,3066,3448,3616,3849
140,0.6696171453748001,0.6759826821629382,44.079012586331125,43.6254365128591,2.44,0.001,308,478,680,968,1299,1537,1849,2120,2332,2654,2804,3065,3449,3616,3849
141,0.6725336465193732,0.6753637710013708,43.88402462385942,43.66707962267957,2.46,0.001,308,478,680,968,1297,1536,1850,2120,2333,2654,2803,3065,3450,3616,3848
142,0.6774353600414262,0.6837304900595198,43.55434486972855,43.10069939207411,2.47,0.001,309,477,679,968,1295,1535,1851,2119,2334,2654,2803,3064,3451,3616,3847
143,0.6826294379991618,0.6872339459054457,43.20225473807039,42.861311704328706,2.49,0.001,309,477,678,968,1294,1535,1851,2118,2334,2654,2803,3064,3452,3616,3847
144,0.6851501795938525,0.6889876826981665,43.03034363833053,42.74097726649816,2.51,0.001,310,476,678,968,1293,1534,1852,2117,2335,2654,2802,3064,3453,3616,3846
145,0.6871496212068413,0.6936196470008407,42.8934966024134,42.421508113054365,2.52,0.001,310,476,677,967,1291,1533,1852,2116,2336,2654,2802,3063,3454,3616,3845
146,0.6914735814397273,0.6952742218155036,42.59604410779025,42.3068090130559,2.54,0.001,310,475,676,967,1290,1533,1852,2116,2336,2654,2801,3063,3454,3616,3845
147,0.6956930559067114,0.7006432131443934,42.30376485028032,41.93244805869689,2.55,0.001,311,475,676,967,1289,1532,1853,2115,2337,2654,2801,3062,3455,3616,3844
148,0.6978999659426958,0.7041197202279141,42.15008757775599,41.688251082532986,2.57,0.001,311,474,675,967,1287,1531,1853,2114,2337,2654,2801,3062,3456,3616,3843
149,0.7006953361423934,0.7045831636612888,41.95462491499373,41.65558771979157,2.58,0.001,311,474,675,967,1286,1531,1854,2113,2338,2654,2800,3061,3456,3616,3843
150,0.7048504173083623,0.7106328709982601,41.66238877779183,41.22686081590951,2.6,0.001,312,473,674,967,1284,1530,1854,2113,2339,2654,2800,3061,3457,3616,3842
151,0.7078331571717973,0.7137165938187373,41.45133895275956,41.006598709174995,2.61,0.001,312,473,674,967,1283,1529,1855,2112,2339,2653,2800,3060,3458,3616,3841
152,0.7100270938789968,0.7142390481349981,41.295413271046975,40.96916416171283,2.63,0.001,313,473,673,967,1282,1529,1855,2111,2340,2653,2799,3060,3458,3616,3840
153,0.7134501118002753,0.7195950064405108,41.05095056137175,40.5834102016298,2.64,0.001,313,472,673,967,1280,1528,1856,2110,2340,2653,2799,3060,3459,3616,3840
154,0.7163527346679528,0.7222996065895253,40.84250667579673,40.38721576520997,2.66,0.001,313,472,672,967,1279,1528,1856,2109,2340,2653,2798,3059,3459,3616,3839
