epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
96,0.5101564753340435,0.5176887944558906,54.3242040036023,53.15181078979695,1.35,0.001,629,1415,2123,2704,3463
97,0.514093762786646,0.5214894337297891,54.105438150892006,52.94197562618083,1.36,0.001,628,1414,2123,2704,3463
98,0.5172942597198233,0.5248601852199145,53.92695707360791,52.75517876681634,1.37,0.001,627,1414,2122,2704,3464
99,0.5210996170760451,0.5281625321031208,53.71397320966631,52.57152633184027,1.38,0.001,626,1413,2122,2705,3463
100,0.5257170616502,0.5331200386383693,53.45439699962717,52.294620133641615,1.39,0.001,626,1413,2121,2705,3463
101,0.5301910826182529,0.5373310073008493,53.20167490681684,52.05825359708223,1.4,0.001,625,1412,2121,2705,3463
102,0.5338020565856313,0.5407353149161506,52.99682607683926,51.8663749418578,1.42,0.001,624,1411,2120,2705,3463
103,0.5369607383503094,0.5441552684247558,52.816981596091566,51.67290263946375,1.43,0.001,624,1410,2119,2705,3463
104,0.5404558590708397,0.5470356942867711,52.61726579893951,51.50938552220362,1.44,0.001,623,1410,2119,2705,3463
105,0.5445125912905484,0.5515898933931908,52.384506054838155,51.24979039591284,1.45,0.001,622,1409,2118,2706,3463
106,0.5487961552335154,0.5554083398653676,52.137604797155525,51.03111125976241,1.46,0.001,622,1408,2117,2706,3463
107,0.5527715254496082,0.559540397985834,51.907416452877904,50.79341440842134,1.47,0.001,621,1408,2116,2706,3463
108,0.5563840884188085,0.5631327603579126,51.697342623920235,50.585859676581066,1.48,0.001,620,1407,2116,2706,3463
109,0.5596894898786825,0.5660842710957149,51.504382493294926,50.41468417891136,1.5,0.001,620,1406,2115,2706,3463
110,0.5627077545152877,0.5696061659756866,51.3275542205707,50.20967510957799,1.51,0.001,619,1405,2114,2707,3463
111,0.5654532667975466,0.5713648370269433,51.16617096071632,50.10698515114934,1.52,0.001,618,1404,2113,2707,3463
112,0.568087753371348,0.57507261062988,51.010831991536364,49.88979798876094,1.53,0.001,618,1403,2112,2708,3463
113,0.5710066351304828,0.5765661642350468,50.838177226095304,49.80203975805107,1.54,0.001,617,1402,2111,2708,3463
114,0.5747577886678887,0.581672923246927,50.615423959284634,49.500818727446315,1.55,0.001,616,1401,2110,2708,3463
115,0.5807149703721024,0.587061526129992,50.259640807914906,49.18096764120242,1.56,0.001,616,1400,2110,2709,3463
116,0.5829319092996315,0.5888741069432644,50.1265902373992,49.07290892768636,1.58,0.001,615,1399,2109,2709,3463
117,0.5856968472790942,0.5924624877181359,49.960155022214956,48.858280688097025,1.59,0.001,614,1398,2108,2710,3463
118,0.588855620454616,0.5944689142519075,49.76933610574135,48.737859065104615,1.6,0.001,614,1397,2107,2710,3463
119,0.5921853713485281,0.5985587696766489,49.56739119150059,48.49147194675059,1.61,0.001,613,1396,2106,2711,3463
120,0.595348919504128,0.601306726281672,49.374762657657406,48.32522016811589,1.62,0.001,612,1395,2105,2711,3463
121,0.5981141571522601,0.6041751692741669,49.20577209853027,48.15106335631385,1.63,0.001,612,1395,2104,2712,3463
122,0.6005051171280833,0.6070157140375223,49.0591833074795,47.97798160354393,1.65,0.001,611,1394,2103,2712,3463
123,0.6026290388735687,0.6084235001365836,48.928594136953805,47.89196572348409,1.66,0.001,611,1394,2102,2713,3463
124,0.6045763707956087,0.6115030485894635,48.80856108067134,47.7032734193564,1.67,0.001,610,1393,2101,2713,3463
125,0.6063773269652255,0.6118302277043717,48.69728219283649,47.68318142716177,1.68,0.001,609,1393,2099,2714,3463
126,0.6081380859221865,0.6153233229780113,48.588243257114165,47.46815081501359,1.69,0.001,609,1393,2098,2714,3463
127,0.6102180317939623,0.6154479918600069,48.45912571677676,47.460458459516595,1.7,0.001,608,1393,2097,2715,3463
128,0.6130118606413797,0.6203309572459387,48.285140923314856,47.15817331647691,1.71,0.001,608,1392,2095,2715,3463
129,0.6165221652838859,0.6223083472847446,48.06565181879493,47.03521058904967,1.73,0.001,607,1392,2094,2716,3463
130,0.6199134286253528,0.6268834013294431,47.85264603365079,46.74946471535129,1.74,0.001,606,1392,2092,2716,3463
131,0.6223673231122968,0.6291961332493772,47.69792235386149,46.60435409178525,1.75,0.001,606,1392,2091,2717,3463
132,0.6239099299274948,0.6301447773223694,47.600402727747486,46.54470087654985,1.76,0.001,605,1392,2089,2718,3463
133,0.6251029424168488,0.6326280217940312,47.52484187983296,46.388185667594826,1.77,0.001,605,1392,2088,2718,3463
134,0.6265162671359197,0.6323456119719408,47.435176264726,46.40601325697188,1.78,0.001,604,1391,2086,2719,3463
135,0.6285662034590931,0.6363787198753245,47.30481846080138,46.15078039697704,1.8,0.001,604,1391,2084,2720,3463
136,0.6313034913760662,0.6374782689598746,47.130190778443705,46.080946314949415,1.81,0.001,603,1391,2083,2720,3463
137,0.6342346288631115,0.6417615282519624,46.94247227325165,45.807911391961,1.82,0.001,602,1391,2081,2721,3463
138,0.6367084394981832,0.6437096184062283,46.783460097259535,45.68319009681652,1.83,0.001,602,1391,2079,2722,3463
139,0.6385220155132667,0.6454083043707954,46.66654168975081,45.574158316418746,1.84,0.001,601,1391,2077,2723,3463
140,0.6399166605042619,0.6476073789488371,46.57642933428077,45.43262095537742,1.85,0.001,601,1391,2075,2724,3463
141,0.641222780038001,0.6475880714449371,46.49187964630894,45.43386494658335,1.86,0.001,600,1390,2073,2725,3463
142,0.6426872598800113,0.6507083375995258,46.396895100857776,45.23228217308892,1.88,0.001,600,1390,2071,2727,3463
