dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
indian_pines,15,3,bsdr,0,4.524855,0.7407407407407407,0.7032192677590399,11-27-36-51-61-78-86-101-111-127-139-149-160-173-184
indian_pines,15,4,bsdr,0,3.461538,0.7758284600389863,0.7454950971298905,11-27-36-51-60-78-86-101-110-126-140-149-160-173-184
indian_pines,15,5,bsdr,0,3.762383,0.7797270955165692,0.7451082989631792,11-27-37-51-61-74-86-101-111-126-140-148-160-173-184
indian_pines,15,6,bsdr,0,3.73894,0.7368421052631579,0.7024732674883682,11-27-36-51-60-78-86-101-111-127-140-149-160-172-184
indian_pines,15,7,bsdr,0,4.062961,0.7563352826510721,0.7235943723167642,12-27-36-51-60-78-86-101-111-127-140-149-160-172-184
indian_pines,15,8,bsdr,0,3.478277,0.7212475633528265,0.6817962965372754,11-27-36-51-60-78-86-101-111-127-139-149-160-173-184
indian_pines,15,9,bsdr,0,3.88047,0.7109375,0.6701404306074299,11-27-36-51-60-78-86-101-111-127-140-148-160-172-184
indian_pines,20,0,bsdr,0,3.761516,0.7446393762183235,0.706502513396776,8-22-27-36-46-55-63-77-85-92-106-110-126-129-140-149-160-168-179-186
indian_pines,20,1,bsdr,0,4.258582,0.7582846003898636,0.727376753395362,8-21-28-36-47-55-63-77-86-92-106-109-128-129-140-149-160-168-178-186
indian_pines,20,2,bsdr,0,3.783305,0.7621832358674464,0.7285125580184791,8-21-27-36-46-55-63-77-85-99-106-110-127-135-140-148-160-166-178-186
indian_pines,20,3,bsdr,0,3.784011,0.7621832358674464,0.7273594563394394,8-21-28-36-47-55-63-77-85-99-106-109-127-131-140-149-160-168-178-186
indian_pines,20,4,bsdr,0,4.342636,0.7855750487329435,0.7556698620528408,10-23-28-36-46-55-63-78-86-92-106-110-126-128-140-149-160-168-178-184
indian_pines,20,5,bsdr,0,3.766076,0.7446393762183235,0.7064999497752991,8-22-28-36-47-55-63-77-86-97-106-110-128-134-140-149-160-168-178-186
indian_pines,20,6,bsdr,0,3.776961,0.7095516569200779,0.6705443730873668,10-21-28-36-47-55-63-77-85-92-106-110-126-128-140-149-160-168-178-186
